,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL1789941,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,active,306.37300000000005,3.466380000000001,1.0,5.0,7.0
1,CHEMBL4068357,C[C@@H]1CCN(C(=O)N2CCCC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,active,342.447,2.3202999999999996,1.0,4.0,7.568636235841013
2,CHEMBL4089515,C[C@@H]1CCN(C(=O)N2CC[C@@H](S(=O)(=O)c3cccc(O)c3)C2)C[C@@H]1N(C)c1ncnc2[nH]ccc12,active,498.6090000000002,2.4783,2.0,7.0,6.464705879957229
3,CHEMBL3644620,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,active,566.6410000000003,5.005900000000003,3.0,7.0,7.153044674980176
4,CHEMBL3928932,CCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,active,354.413,5.0412000000000035,3.0,3.0,7.978810700930062
5,CHEMBL3929865,Oc1cccc(-c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)c1,active,326.359,4.478800000000003,3.0,3.0,6.242072816886671
6,CHEMBL4087076,CC(C)c1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,active,368.44,5.602200000000004,3.0,3.0,6.601539150391777
7,CHEMBL4104931,CCCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,active,368.44,5.431300000000004,3.0,3.0,7.122628654130226
8,CHEMBL3914503,COc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,active,356.385,4.487400000000003,3.0,4.0,7.2380721615794705
9,CHEMBL4086131,CCc1c(-c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)ccc(O)c1F,active,372.403,5.180300000000004,3.0,3.0,6.688670047696207
10,CHEMBL4103980,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,active,372.403,5.180300000000003,3.0,3.0,7.319664486585436
11,CHEMBL4086057,CCc1cc(O)ccc1-c1ccc2c(-c3ncc[nH]3)n[nH]c2c1,active,304.353,3.8880000000000026,3.0,3.0,7.982966660701219
12,CHEMBL4096219,CCc1cc(O)ccc1-c1ccc2c(C(N)=O)n[nH]c2c1,active,281.315,2.5968,3.0,3.0,7.718966632752273
13,CHEMBL4078165,CCc1cc(O)ccc1-c1ccc2c(C(=O)NC)n[nH]c2c1,active,295.342,2.857500000000001,3.0,3.0,8.040958607678906
14,CHEMBL4074855,CCc1cc(O)ccc1-c1ccc2c(C(=O)N(C)C)n[nH]c2c1,inactive,309.36899999999997,3.199700000000001,2.0,3.0,5.0
15,CHEMBL4101534,CCc1cc(O)ccc1-c1ccc2c(C(=O)Nc3ccc(C)nc3)n[nH]c2c1,active,372.42800000000005,4.4536200000000035,3.0,4.0,6.556267758598403
16,CHEMBL4066236,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C)CC4)n[nH]c2c1,active,373.46000000000015,3.8759000000000015,3.0,4.0,7.730487055782084
17,CHEMBL4093813,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)=O)CC4)n[nH]c2c1,active,401.4700000000002,3.792600000000002,3.0,4.0,8.346787486224656
18,CHEMBL4069951,CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(S(C)(=O)=O)CC4)n[nH]c2c1,active,437.5250000000002,3.205700000000002,3.0,5.0,7.407823242604133
19,CHEMBL4097152,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(Cc3ccccc3)CC4)n[nH]c2c1,active,467.5480000000002,5.585400000000004,3.0,4.0,7.517126416391246
20,CHEMBL3644618,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3ccc(F)cc3)C4)n[nH]c2c1,active,499.5210000000002,5.364700000000004,3.0,4.0,7.455931955649724
21,CHEMBL3979355,CC(C)(/C=C(\C#N)C(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,active,665.7739999999997,4.4153800000000025,1.0,11.0,8.301029995663981
22,CHEMBL4483484,CCc1cc(O)c(F)cc1-c1cc(NP(=O)(CC)CC)c2cn[nH]c2c1,inactive,375.38400000000007,5.366800000000003,3.0,3.0,4.800000052738446
23,CHEMBL4534573,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)N(C)C)c2cn[nH]c2c1,active,378.4290000000001,2.8553000000000006,3.0,4.0,7.0
24,CHEMBL4563039,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)c2cccnc2)c2cn[nH]c2c1,intermediate,412.4460000000001,3.8328000000000015,3.0,5.0,5.300000202445418
25,CHEMBL4528395,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)c2ccccn2)c2cn[nH]c2c1,intermediate,412.4460000000001,3.8328000000000015,3.0,5.0,5.670000424450806
26,CHEMBL4560212,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)c2ccccc2Cl)c2cn[nH]c2c1,active,445.9030000000001,5.091200000000002,3.0,4.0,6.409994580348671
27,CHEMBL4535413,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CCN2CCN(C)CC2)c2cn[nH]c2c1,intermediate,461.56300000000033,2.6261,3.0,6.0,5.100000128334196
28,CHEMBL4529314,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CCN2CCCCC2)c2cn[nH]c2c1,intermediate,446.54800000000034,3.864600000000002,3.0,5.0,5.200000237109354
29,CHEMBL4483513,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CCC(=O)OC)c2cn[nH]c2c1,active,421.4500000000002,2.9418000000000006,3.0,6.0,6.399996913372259
30,CHEMBL4569613,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CCOC)c2cn[nH]c2c1,active,393.44000000000017,3.025100000000001,3.0,5.0,6.399996913372259
31,CHEMBL4543715,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CCO)c2cn[nH]c2c1,active,379.4130000000001,2.3709999999999996,4.0,5.0,6.0
32,CHEMBL4522317,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)C(F)(F)F)c2cn[nH]c2c1,intermediate,403.357,3.898500000000001,3.0,4.0,5.529999886197673
33,CHEMBL4521312,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)C2CCCC2)c2cn[nH]c2c1,active,403.4790000000002,4.321300000000003,3.0,4.0,6.390000296157769
34,CHEMBL4580425,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CC2CCC2)c2cn[nH]c2c1,active,403.4790000000002,4.178800000000002,3.0,4.0,6.399996913372259
35,CHEMBL4554460,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)C2CC2)c2cn[nH]c2c1,active,375.4250000000001,3.541100000000001,3.0,4.0,6.699991797446187
36,CHEMBL4517645,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)C(C)C)c2cn[nH]c2c1,active,377.4410000000001,3.7871000000000015,3.0,4.0,6.790002703917631
37,CHEMBL4544386,CCc1cc(O)c(F)cc1-c1cc(N(C)S(C)(=O)=O)c2cn[nH]c2c1,intermediate,363.41400000000004,3.032800000000001,2.0,4.0,5.700000503883016
38,CHEMBL4483364,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)CC)c2cn[nH]c2c1,active,363.4140000000001,3.398600000000001,3.0,4.0,6.770011163455189
39,CHEMBL4539949,CCc1cc(O)c(F)cc1-c1cc(NS(C)(=O)=O)c2cn[nH]c2c1,active,349.38700000000006,3.0085000000000006,3.0,4.0,6.399996913372259
40,CHEMBL4577685,CCS(=O)(=O)Nc1cc(-c2c(C)cc(O)cc2C)cc2[nH]ncc12,inactive,345.42400000000004,3.3139400000000014,3.0,4.0,4.600000074606178
